subject,eo_alpha_post,eo_mu_sensori,eo_beta_sensori,eo_broadband,eo_line60,eo_alpha_peak_hz,eo_mu_prominence_db,eo_aperiodic_slope,ec_alpha_post,ec_mu_sensori,ec_beta_sensori,ec_broadband,ec_line60,ec_alpha_peak_hz,ec_mu_prominence_db,ec_aperiodic_slope,alpha_reactivity,mu_reactivity
1,1.6394205633514372,1.5469884440430874,0.9779966848605377,1.363555818036387,-0.07987111838539243,8.4375,5.604019666380292,-1.6954625691339615,2.646706721083967,2.0747472242053684,1.0974593581365422,1.579338711155717,-0.09581082289365797,10.0,10.647491514739231,-1.5864689865369717,1.00728615773253,0.527758780162281
2,1.334949273956843,1.1261938573479346,0.620898014617168,1.057518442661758,-0.0019355989314973105,11.5625,4.585872812276633,-1.2867211289248432,2.3133204220607233,1.773394527090041,0.8689382420530248,1.1613209939847726,-0.02548200791157615,11.25,11.724373281673143,-0.9558896563472444,0.9783711481038804,0.6472006697421064
4,0.6084113326378829,0.6434375678842961,0.38050593895067686,1.3240366104941794,0.6354018490142985,6.25,0.4659599707502248,-1.5868357397918442,1.8061860242362437,1.1838667517563302,0.547502462048341,0.8087865532338477,0.8767755614706872,10.625,10.826643537437148,-1.205572839134967,1.1977746915983607,0.5404291838720341
5,0.7521023154017455,0.7223045409236031,0.2519046265851802,0.9239006763696238,2.44671600710538,6.875,1.818420022081669,-1.4747043033662932,0.9485755332104964,0.8444375819304043,0.2663722987849592,0.7958422733036208,2.7102093301643078,10.9375,3.4034967687146263,-1.3320958301747994,0.19647321780875082,0.12213304100680122
6,0.5396550402315675,0.5297182156218996,0.4143761856434038,1.0010059110309102,1.0285284936669299,6.5625,-2.3189108844860513,-1.3903840762919533,0.6318050558658834,0.5937980658066659,0.41686861803536307,0.605277250051872,1.104152767210531,6.5625,0.3667506445669408,-1.175671617057592,0.09215001563431591,0.06407985018476636
7,1.9399411519271268,1.5271542841621508,0.6585210029309648,1.1943837337469367,2.4162908511894425,11.25,8.8357135977898,-1.4480389550299793,2.4125349352960606,1.8521062493027636,0.7606423967834288,1.2705069795511699,2.7427398789893163,11.5625,12.895625797898509,-1.5097312865826877,0.47259378336893376,0.32495196514061275
8,0.9334088765153358,0.956929528853489,0.3590510240195672,1.0330884822119066,0.07855098487969558,6.25,3.104812767353585,-1.518679531372496,1.69579014271946,1.611713861835887,0.49439128280355704,0.9867126501475079,0.15329388483615602,9.375,11.93009384420999,-1.365353106818446,0.7623812662041242,0.654784332982398
9,1.3584140795105863,1.5127389640549553,1.291532134354176,1.9007632853563388,0.655809515330043,6.25,0.9560718974876938,-0.8468393275966222,1.6950513055971173,1.6497019640240786,1.2842774023450838,1.585533071177821,0.6687370334296185,10.3125,5.0430278980935,-0.38592368375628533,0.3366372260865309,0.1369629999691233
10,1.5678147761100494,1.487744777615927,0.9379070051351802,1.5185049266572306,0.33280755506142207,8.125,2.6059007953629414,-1.8499610790322534,2.5681398681672594,1.9870147922778587,1.2099471870521776,1.570575228497849,0.5748589163716551,9.0625,8.523591356932625,-1.7183517014979173,1.00032509205721,0.49927001466193177
11,0.6175364503149768,0.46464487041867897,0.045912212722779636,0.6258031464340708,0.03331719696213859,6.875,0.058502690428023627,-1.7340111871365917,1.7860095339995148,1.224185139098459,0.398316014565333,0.7686341862877679,0.003846381988505765,10.3125,10.134378002917703,-1.442902187201524,1.168473083684538,0.7595402686797801
