paradigm,band,subject,li_T1,li_T2,d
executed,mu (8-13 Hz),1,0.2295257369597228,0.16794852266242177,0.061577214297301036
executed,mu (8-13 Hz),2,0.1531998442004328,0.06474347948253206,0.08845636471790075
executed,mu (8-13 Hz),3,0.13130831503530735,0.1556740884466815,-0.024365773411374164
executed,mu (8-13 Hz),4,0.1636874884524842,0.11387840176315264,0.049809086689331566
executed,mu (8-13 Hz),5,0.14498305220605243,0.1308806031944451,0.014102449011607315
executed,mu (8-13 Hz),6,0.21794809714382152,0.2024485662118618,0.015499530931959715
executed,mu (8-13 Hz),7,0.24752484985004625,0.1775871992515105,0.06993765059853574
executed,mu (8-13 Hz),8,0.016604071489384847,0.059915063770817616,-0.04331099228143277
executed,mu (8-13 Hz),9,0.09582614953775458,0.06160254206860859,0.03422360746914599
executed,mu (8-13 Hz),10,0.12711383605158666,-0.03537523931592681,0.16248907536751347
executed,mu (8-13 Hz),11,0.1550511334185794,0.1255412685959071,0.029509864822672288
executed,mu (8-13 Hz),12,0.11185520737510528,0.06850079207498724,0.043354415300118035
executed,mu (8-13 Hz),13,0.2224820199976616,0.17195121010736208,0.05053080989029951
executed,mu (8-13 Hz),14,0.1766874057814832,0.2379767829141919,-0.06128937713270868
executed,mu (8-13 Hz),15,0.0972485964170623,0.04982300265432344,0.04742559376273885
executed,mu (8-13 Hz),16,0.1597279964599977,0.19071033430339718,-0.030982337843399488
executed,mu (8-13 Hz),17,0.1212375050820486,0.0527901534299678,0.0684473516520808
executed,mu (8-13 Hz),18,0.10042195157343262,0.11153490251040614,-0.011112950936973523
executed,mu (8-13 Hz),19,0.2713780222826239,0.2746512844101681,-0.0032732621275441964
executed,mu (8-13 Hz),20,0.20359834474154986,0.19299764141055506,0.010600703330994804
executed,mu (8-13 Hz),21,0.1976229266443561,0.09831406172563842,0.09930886491871768
executed,mu (8-13 Hz),22,0.026563892404905826,0.012402387927852228,0.014161504477053598
executed,mu (8-13 Hz),23,0.12617165496253463,0.10418704562064066,0.021984609341893974
executed,mu (8-13 Hz),24,0.1816443769305151,0.19259754042525384,-0.010953163494738738
executed,mu (8-13 Hz),25,-0.04564987241500856,-0.07439150290084806,0.028741630485839498
executed,mu (8-13 Hz),26,0.21753456468617605,0.21729068560821108,0.00024387907796497021
executed,mu (8-13 Hz),27,0.21424137625367715,0.20618078566169906,0.008060590591978084
executed,mu (8-13 Hz),28,0.2060245349218646,0.12403056761967157,0.08199396730219302
executed,mu (8-13 Hz),29,0.17361188415575549,0.06004101057331244,0.11357087358244305
executed,mu (8-13 Hz),30,0.18367100762671676,0.17737946757065598,0.006291540056060779
executed,mu (8-13 Hz),31,0.15716507054339907,0.056010110689726555,0.10115495985367251
executed,mu (8-13 Hz),32,0.02738403586322661,0.0539287177165261,-0.026544681853299494
executed,mu (8-13 Hz),33,0.161043189496266,0.17560314525153037,-0.014559955755264364
executed,mu (8-13 Hz),34,0.11451788602449922,0.019110463536395998,0.09540742248810322
executed,mu (8-13 Hz),35,0.13521974651242621,-0.013538016560490659,0.14875776307291688
executed,mu (8-13 Hz),36,0.19562440260679925,0.13998497755266012,0.05563942505413913
executed,mu (8-13 Hz),37,0.06160755001663489,0.0352792475445865,0.02632830247204839
executed,mu (8-13 Hz),38,0.2235294241906411,0.1739918594598881,0.04953756473075299
executed,mu (8-13 Hz),39,0.056454487219543804,0.027461755780918938,0.028992731438624866
executed,mu (8-13 Hz),40,0.08914753149096691,0.06327375883977204,0.025873772651194865
executed,mu (8-13 Hz),41,0.25297590417038573,0.27044363771004626,-0.017467733539660524
executed,mu (8-13 Hz),42,0.17319941203343583,0.03808730232014296,0.13511210971329288
executed,mu (8-13 Hz),43,0.1764626974852583,0.11646067370419305,0.060002023781065256
executed,mu (8-13 Hz),44,0.08854588880734979,-0.12474769953788713,0.21329358834523693
executed,mu (8-13 Hz),45,0.24685137516434386,0.22859091556395736,0.018260459600386497
executed,mu (8-13 Hz),46,0.1056079025001698,0.017684073949075264,0.08792382855109454
executed,mu (8-13 Hz),47,0.2955043353937289,0.2964759450307129,-0.0009716096369840055
executed,mu (8-13 Hz),48,0.14515377816943437,0.017580707280127124,0.12757307088930725
executed,mu (8-13 Hz),49,0.16455650324425516,0.09963618697340271,0.06492031627085246
executed,mu (8-13 Hz),50,0.18773794361137952,0.1535138754244557,0.034224068186923834
executed,mu (8-13 Hz),51,0.08981764111044646,0.10518893192235759,-0.015371290811911131
executed,mu (8-13 Hz),52,0.17659995147579255,0.21787964634525908,-0.04127969486946653
executed,mu (8-13 Hz),53,0.18986099458693606,0.20295991552059214,-0.013098920933656083
executed,mu (8-13 Hz),54,0.17555274368416818,-0.02090103311845886,0.19645377680262704
executed,mu (8-13 Hz),55,0.018238027918116524,0.09693324516215887,-0.07869521724404235
executed,mu (8-13 Hz),56,0.16858986956971234,0.15021484296067902,0.018375026609033313
executed,mu (8-13 Hz),57,0.17174579823857927,0.1315355350398027,0.040210263198776575
executed,mu (8-13 Hz),58,0.24533846617622737,0.2203386833958049,0.024999782780422475
executed,mu (8-13 Hz),59,0.16941390387014044,0.2464300631562922,-0.07701615928615177
executed,mu (8-13 Hz),60,0.14194878186531795,0.08489979390388898,0.057048987961428974
executed,mu (8-13 Hz),61,0.08917879013753183,0.13988878124005252,-0.050709991102520696
executed,mu (8-13 Hz),62,0.017789951476392438,-0.01465774064417629,0.03244769212056873
executed,mu (8-13 Hz),63,0.11484478549203829,0.1203389746224021,-0.0054941891303638135
executed,mu (8-13 Hz),64,0.0932745438595776,0.07525778897584862,0.01801675488372899
executed,mu (8-13 Hz),65,0.17253501418556444,0.2049273398633073,-0.03239232567774286
executed,mu (8-13 Hz),66,0.36129542190930297,0.23885323648125284,0.12244218542805013
executed,mu (8-13 Hz),67,0.024602535358488505,-0.09112153505531402,0.11572407041380253
executed,mu (8-13 Hz),68,0.3706747098915134,0.37906162120470743,-0.008386911313194023
executed,mu (8-13 Hz),69,0.05634838236516887,-0.008138546789172722,0.0644869291543416
executed,mu (8-13 Hz),70,0.19606067196051372,0.267679552255754,-0.0716188802952403
executed,mu (8-13 Hz),71,0.22973463817484568,0.15904256988367796,0.07069206829116773
executed,mu (8-13 Hz),72,0.22142103268946375,0.1383033067749589,0.08311772591450486
executed,mu (8-13 Hz),73,0.24892296649401605,0.23156715708521805,0.017355809408797995
